Id,SalePrice
1461,123146.63122300175
1462,228065.17092991155
1463,147041.45339847845
1464,163243.6377021384
1465,284017.68869916536
1466,117102.79390867287
1467,133652.75721521955
1468,173719.5335365024
1469,149850.66550924582
1470,132498.462106287
1471,278395.85405218136
1472,85062.09356045537
1473,58652.4143886189
1474,179014.2064670429
1475,214188.35988617246
1476,330464.9239363838
1477,312819.71901184064
1478,327729.597241092
1479,280782.0887500937
1480,317511.09473779146
1481,292636.9846810156
1482,326626.8159132288
1483,187199.70265709842
1484,243919.87080656202
1485,281334.9560431193
1486,204171.23688545544
1487,306616.9738998732
1488,255042.96304045338
1489,220799.73148445645
1490,202669.0835864155
1491,206256.95562570659
1492,207551.53383021057
1493,172781.6330151544
1494,240966.8154870784
1495,260705.54736439604
1496,295824.4192242052
1497,235873.99653471727
1498,274786.08764481894
1499,259204.73650478572
1500,170414.19198484626
1501,245681.72568823816
1502,235200.32583853137
1503,247190.12720278534
1504,243355.6142018647
1505,227057.75066969357
1506,92542.0519223325
1507,227582.22998787416
1508,266978.53993464727
1509,214154.16643951042
1510,114230.88743784442
1511,72445.81916304142
1512,134043.04691531858
1513,177286.38564141467
1514,59593.950458873995
1515,230744.92636962933
1516,226904.37743488024
1517,127804.64606167213
1518,51739.6154610673
1519,205786.66370893246
1520,160295.8712767379
1521,160295.8712767379
1522,245022.42912713625
1523,195849.64754924737
1524,137985.6685274581
1525,182241.4516503571
1526,157202.42630318436
1527,162481.95894837845
1528,213249.75474386406
1529,235885.13819764694
1530,241336.88050854043
1531,181167.60723954323
1532,182190.6916871129
1533,157368.4262595612
1534,248797.96087019984
1535,164086.44178180443
1536,186911.52436308842
1537,24646.1680674667
1538,284827.5178175587
1539,281738.2384256837
1540,117909.05334606045
1541,231480.1696245661
1542,206728.84135180572
1543,317095.1792514422
1544,132274.22840092238
1545,241951.09973076382
1546,240826.808929221
1547,198173.62720187148
1548,285007.3078362453
1549,176113.63084812253
1550,210340.4283277779
1551,206620.19022205123
1552,166179.51479320414
1553,236267.8976803976
